ID,SKU,Category,Group,Type,Name,"Short description",Description,Stock,"Low stock amount","Backorders allowed?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Regular price",Categories,Images,"Meta: vn_name","Meta: vn_price","Meta: vn_contact","Meta: comp_name","Meta: comp_price","Meta: est_freight","Meta: shelf_no","Meta: restock_qty","Meta: days_out"
290,A-CON-CPNL,aub,con,variable,"Autobailer Control Panel","Control panel for the Autobailer Machine.","The Autobailer control panel is the brains of the machine. The programable logic controller (PLC) inside the panel reads data from the sensors and controls the motor automatically. The panel with the cellular modem can send data to an online platform. This allows for wireless monitoring and control of an Autobailer from anywhere with an internet connection.
\n
\n<strong>NOTE: You need to purchase an Autobailer Wireless Service plan for each Control Panel w/ Cellular Modem you purchase.</strong>",,,0,60,,,,,AutoBailer,https://oilpatchdepot.com/wp-content/uploads/2024/12/autobailer-control-panel.jpg,,,,,,,,,
5269,A-SRV-INST,aub,srv,"simple, virtual","Autobailer Installation Service","Select this option and we'll install an Autobailer on your well.","<strong>NOTE: Autobailer Installation Service is only available in Oklahoma.</strong>
\n
\nAdd this option for each system you need installed and our technicians will get it done. Service is for installation of one Autobailer system. We will contact you to set a date a location for installation.",,,0,,,,,750,AutoBailer,https://oilpatchdepot.com/wp-content/uploads/2024/01/Supplies_Color.jpg,,,,,,,,,
4465,A-MCH-ABMCH,aub,mch,variable,"AutoBailer Machine","The most affordable artificial lift on the planet.","We offer two types of machines. Part-time and full-time. The part-time unit is built to be powered by a mobile pumping trailer. This option makes it possible to run an Autobailer on a well that does not have power nearby. The full-time unit is designed to draw power from a disconnect coming from a power line.
\n
\nBoth types come with all the mechanical parts needed to operate an Autobailer:
\n<ul>
\n 	<li>Casing head adapter.</li>
\n 	<li>Tray and mounting arm.</li>
\n 	<li>A 1HP motor.</li>
\n 	<li>A reel with 2000' of plastic coated steel cable.</li>
\n 	<li>Canister seating assembly.</li>
\n 	<li>A 20' canister.</li>
\n 	<li>Sensors.</li>
\n 	<li>Plumbing components.</li>
\n 	<li>Air compressor (full-time only).</li>
\n</ul>",4,,0,150,,,,,AutoBailer,"https://oilpatchdepot.com/wp-content/uploads/2024/08/autobailer-1.jpg, https://oilpatchdepot.com/wp-content/uploads/2024/08/autobailer-3.jpg, https://oilpatchdepot.com/wp-content/uploads/2024/08/autobailer-2.jpg",,,,,,,,,
6008,A-CON-PROX,aub,con,simple,"Autobailer Proximity Sensor","Replacement proximity sensor for the Autobailer.","Replacement proximity sensor for the Autobailer.",,,0,,,,,29,AutoBailer,https://oilpatchdepot.com/wp-content/uploads/2025/02/autobailer-proximity-switch.jpg,,,,,,,,,
6007,A-CON-SOLV,aub,con,simple,"Autobailer Solenoid Valve","Replacement solenoid valve for the Autobailer.","Replacement solenoid valve for the Autobailer.",,,0,,,,,199,AutoBailer,https://oilpatchdepot.com/wp-content/uploads/2025/02/autobailer-solenoid-valve.jpg,,,,,,,,,
5267,A-SRV-WLSS,aub,srv,simple,"Autobailer Wireless Service","Subscription for Autobailer Cellular.","This subscription includes the wireless bill for the Autobailer and the use of our OnPing web platform. One subscription must be added for each wireless Autobailer.",,,0,,,,,75,AutoBailer,https://oilpatchdepot.com/wp-content/uploads/2024/12/autobailer-wireless.jpg,,,,,,,,,
296,A-CON-FLSW,aub,con,simple,"Flow Switch","Detects liquid flow for the Autobailer Machine.","The Flow Switch is used to detect when liquid in being moved by the Autobailer Machine. When used with a cellular capable machine it makes it possible to monitor flow from afar and tell if a dry run occurs.
\n<ul>
\n 	<li>Get real time flow rates, straight to your computer, when used with the wireless control panel.</li>
\n 	<li>Used to estimate how much liquid an Autobailer produces.</li>
\n 	<li>Helps with problem detection and diagnostics.</li>
\n</ul>",,,0,8,,,,400,AutoBailer,https://oilpatchdepot.com/wp-content/uploads/2024/01/Flow_Switch.jpg,,,,,,,,,
295,A-CON-HHC,aub,con,simple,"Hand Held Control","Human machine interface (HMI) for the Autobailer.","<ul>
\n 	<li>This control can be moved from one machine to another.  Allows the user to control the operation of a machine with or without wireless package.</li>
\n 	<li>Can be used to set parameters of machine.</li>
\n 	<li>When it is removed, the machine will run independently.</li>
\n 	<li>Controller is necessary for machine installation.</li>
\n</ul>",,,0,7,,,,1100,AutoBailer,https://oilpatchdepot.com/wp-content/uploads/2024/01/Hand-Held-Control.jpg,,,,,,,,,
297,A-MCH-MPTRL,aub,mch,simple,"Mobile Pumping Trailer","Used to power and pump multiple wells.","The Mobile Pumping Trailer allows intermittent pumping of multiple wells that have a part-time Autobailer Machine installed.
\n<ul>
\n 	<li>Includes a trailer, generator, compressor, and tank.</li>
\n 	<li>Saves the cost of the Control Panel and electrical power connections for each well pumped this way.</li>
\n</ul>",,,0,2000,,,,8000,AutoBailer,https://oilpatchdepot.com/wp-content/uploads/2024/03/mobile-pumping-trailer-e1711377111906.jpg,,,,,,,,,
6103,P-AIR-QCABF,prt,air,variable,"Quick Connect - Airline - Brass - Female","Airline female quick connect. AKA an airline coupler.","An airline quick connect, also known as an air hose quick connect fitting or airline coupler, is a versatile component used to connect air hoses to pneumatic components.",,,0,,,,,,Rig_Supplies,https://oilpatchdepot.com/wp-content/uploads/2024/12/airline-connections-female-pack.jpg,,,,,,,,,
