ID,SKU,Type,Name,Description,Stock,"Low stock amount","Backorders allowed?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Regular price",Images,Parent,"Meta: vn_name","Meta: vn_price","Meta: vn_contact","Meta: comp_name","Meta: comp_price","Meta: est_freight","Meta: shelf_no","Meta: restock_qty"
5759,S-OIL-JT8-2G,variation,"15/40 - Mystic - JT8 - 2 gal","2 gal",0,3,0,15,13,8.25,6,49,,id:5316,"Hooten Oil",33.71,https://hootenoil.cimproduction.com/,,,0,6C2,6
7110,S-OIL-JT8-55G,variation,"15/40 - Mystic - JT8 - 55 gal","55 gal",0,,0,450,34.5,23,23,1249,,id:5316,"Hooten Oil",920.7,https://hootenoil.cimproduction.com/,,,0,Y-NE,0
5760,SUP-OIL-JT8SB-2G,variation,"15/50 - Mystic - JT8 Synthetic Blend - 2 gal","2 gal",0,4,0,15.1,13,8,6,42.53,,id:5317,"Hooten Oil",31.5,https://hootenoil.cimproduction.com/,Arrow,49.5,0,,0
7134,PRT-DHP-20125RWT-9300,variation,"20-125-RWT - 9-3-0-0",9-3-0-0,,,0,,,,,705,,id:7133,,,,,,,,
7126,PRT-DHP-20150RWB-14300,variation,"20-150-RWBC - 14-3-0-0",14-3-0-0,,,0,,,,,3900,,id:7124,,,,,,,,
7127,PRT-DHP-20150RWB-9200,variation,"20-150-RWBC - 9-2-0-0",9-2-0-0,,,0,,,,,1500,,id:7124,,,,,,,,
7131,PRT-DHP-20175THC-6322,variation,"20-175-THC - 6-3-2-2",6-3-2-2,,,0,,,,,924,,id:7130,,,,,,,,
5762,S-OIL-JT7-1QT,variation,"80/90 - Mystic JT7 - 1 qt","1 qt",9,4,0,3,,,,6,,id:5318,"Hooten Oil",5.19,https://hootenoil.cimproduction.com/,Arrow,7.61,0,6C2,20
5763,S-OIL-JT7-2G,variation,"80/90 - Mystic JT7 - 2 gal","2 gal",8,3,0,15.6,13,8.5,6,49,,id:5318,"Hooten Oil",41.3667,https://hootenoil.cimproduction.com/,Arrow,49.49,0,6C2,6
4919,S-CHM-AS-1PK,variation,"Acid Sticks - 1 Stick","1 Acid Stick",103,10,1,0.79,15,1.25,1.25,7,,id:347,Hydrofoam,3.84,Sales@hydrofoamtechnology.com,Arrow,9.32,0,3D1,60
4920,S-CHM-AS-10PK,variation,"Acid Sticks - 10 Box","Box of 10 Acid Sticks",0,,0,15,,,,60,,id:347,Hydrofoam,38.4,Sales@hydrofoamtechnology.com,,,0,3D1,0
4921,S-CHM-AS-30PK,variation,"Acid Sticks - 30 Box","Box of 30 Acid Sticks",0,,0,45,,,,159,,id:347,Hydrofoam,114.9,Sales@hydrofoamtechnology.com,,,0,3D1,0
4922,S-CHM-AS-50PK,variation,"Acid Sticks - 50 Pail","Pail of 50 Acid Sticks",0,,0,75,,,,239,,id:347,Hydrofoam,204,Sales@hydrofoamtechnology.com,,,0,6C4,0
4923,S-CHM-AS-60PK,variation,"Acid Sticks - 60 Box","Box of 60 Acid Sticks",1,,0,90,,,,269,,id:347,Hydrofoam,230.4,Sales@hydrofoamtechnology.com,,,0,3.00E+01,2
5421,P-FIT-EL90S-38MX14MN,variation,"Adapter - Ell - 90 - Steel - 4,000 psi - 3/8"" m x 1/4"" m","3/8"" m x 1/4"" m \n",10,4,0,0.125,,,,3.58,,id:5319,"Surplus Center",2.65,https://www.surpluscenter.com/,Arrow,5.51,0.45,5.00E+03,8
5422,P-FIT-STRS-38FMX14F,variation,"Adapter - Straight - Steel - 4,000 psi - 3/8"" fm x 1/4"" fm","3/8"" fm x 1/4"" fm \n",8,2,0,0.112,2,1.13,1.13,5,,id:5320,"Surplus Center",2.35,https://www.surpluscenter.com/Hydraulics/Hydraulic-Adapters-Fittings/NPT-to-NPT/NPT-Female-to-NPT-Female---Straight/3-8-NPT-Female-x-1-4-NPT-Female-Straight-5000-06-04-Adapter-9-5000-6-4.axd,Arrow,4.05,1.2857,5.00E+03,8
5423,P-FIT-STRS-38MX14MN,variation,"Adapter - Straight - Steel - 4,000 psi - 3/8""m x 1/4""m","3/8""m x 1/4""m \n",12,4,0,0.125,,,,2.36,,id:5320,"Surplus Center",1.75,https://www.surpluscenter.com/,Arrow,3.96,0.45,5.00E+03,8
