Country Code,State Code,ZIP/Postcode,City,Rate %
US,OK,74720,ACHILLE,8
US,OK,74820,ADA,9.375
US,OK,74821,ADA,9.375
US,OK,74843,ADA,9.375
US,OK,74871,ADA,9.375
US,OK,74330,ADAIR,9.875
US,OK,74457,ADAIR,6.25
US,OK,74931,ADAIR,6.25
US,OK,73520,ADDINGTON,8.5
US,OK,74824,AGRA,9.5
US,OK,74521,ALBION,6.5
US,OK,74522,ALDERSON,8
US,OK,73011,ALEX,8.25
US,OK,73716,ALINE,9.5
US,OK,74825,ALLEN,8.5
US,OK,73521,ALTUS,9.75
US,OK,73522,ALTUS,9.75
US,OK,73523,ALTUS,9.75
US,OK,73717,ALVA,9.25
US,OK,73004,AMBER,9.25
US,OK,73718,AMES,9.25
US,OK,73719,AMORITA,6.5
US,OK,74523,ANTLERS,10
US,OK,73006,APACHE,10
US,OK,73620,ARAPAHO,8
US,OK,73402,ARDMORE,9.125
US,OK,73403,ARDMORE,9.125
US,OK,73458,ARDMORE,9.125
US,OK,74901,ARKOMA,9.5
US,OK,73832,ARNETT,10.5
US,OK,74826,ASHER,9.995
US,OK,73432,ATOKA,6.5
US,OK,74525,ATOKA,10.5
US,OK,74540,ATOKA,6.5
US,OK,74555,ATOKA,6.5
US,OK,74576,ATOKA,6.5
US,OK,74827,ATWOOD,7.5
US,OK,74001,AVANT,7.75
US,OK,74002,BARNSDALL,9.75
US,OK,74003,BARTLESVILLE,9.15
US,OK,74004,BARTLESVILLE,8.9
US,OK,74005,BARTLESVILLE,8.9
US,OK,74006,BARTLESVILLE,8.9
US,OK,74051,BARTLESVILLE,8.9
US,OK,73931,BEAVER,6.5
US,OK,73932,BEAVER,9.5
US,OK,73950,BEAVER,6.5
US,OK,74047,BEGGS,10.583
US,OK,74421,BEGGS,10.583
US,OK,74447,BEGGS,10.583
US,OK,74723,BENNINGTON,9
US,OK,74331,BERNICE,9.7
US,OK,73622,BESSIE,8.5
US,OK,74332,BIG CABIN,9
US,OK,74630,BILLINGS,10
US,OK,73009,BINGER,10
US,OK,74011,BIXBY,8.917
US,OK,74133,BIXBY,8.917
US,OK,74631,BLACKWELL,10.75
US,OK,73770,BLAINE,5.375
US,OK,73526,BLAIR,8.625
US,OK,73010,BLANCHARD,10.25
US,OK,73065,BLANCHARD,10
US,OK,74333,BLUEJACKET,8.5
US,OK,73933,BOISE CITY,9.5
US,OK,74726,BOKCHITO,9
US,OK,74930,BOKOSHE,10.5
US,OK,74829,BOLEY,11.5
US,OK,74727,BOSWELL,9.5
US,OK,74830,BOWLEGS,8.75
US,OK,74422,BOYNTON,7.15
US,OK,74423,BRAGGS,8.15
US,OK,74439,BRAGGS,8.15
US,OK,74632,BRAMAN,9.75
US,OK,74010,BRISTOW,10.667
US,OK,74012,BROKEN ARROW,9.35
US,OK,74013,BROKEN ARROW,8.417
US,OK,74530,BROMIDE,6.5
US,OK,74721,BRYAN,5
US,OK,74731,BRYAN,5
US,OK,74753,BRYAN,5
US,OK,73834,BUFFALO,9.5
US,OK,74633,BURBANK,7.75
US,OK,73624,BURNS FLAT,10.5
US,OK,73647,BURNS FLAT,10.5
US,OK,73625,BUTLER,8
US,OK,74831,BYARS,9
US,OK,73722,BYRON,8.5
US,OK,73527,CACHE,8.625
US,OK,73001,CADDO,6
US,OK,73014,CALUMET,8.85
US,OK,74531,CALVIN,9.5
US,OK,73835,CAMARGO,10.25
US,OK,74932,CAMERON,8.5
US,OK,74425,CANADIAN,10.5
US,OK,74533,CANEY,8.5
US,OK,73724,CANTON,8.375
US,OK,73626,CANUTE,10.5
US,OK,73726,CARMEN,9.5
US,OK,73015,CARNEGIE,10
US,OK,74832,CARNEY,9.5
US,OK,73727,CARRIER,4.85
US,OK,73435,CARTER,5.375
US,OK,73437,CARTER,5.375
US,OK,73488,CARTER,5.375
US,OK,73627,CARTER,8.85
US,OK,73016,CASHION,9.75
US,OK,74833,CASTLE,9.5
US,OK,74116,CATOOSA,9.25
US,OK,73017,CEMENT,9.5
US,OK,74534,CENTRAHOMA,6.5
US,OK,74834,CHANDLER,9.5
US,OK,73528,CHATTANOOGA,7.875
US,OK,74426,CHECOTAH,10.5
US,OK,74016,CHELSEA,9
US,OK,73728,CHEROKEE,9.75
US,OK,74364,CHEROKEE,6.25
US,OK,74427,CHEROKEE,6.25
US,OK,74444,CHEROKEE,6.25
US,OK,74451,CHEROKEE,6.25
US,OK,74452,CHEROKEE,6.25
US,OK,74471,CHEROKEE,6.25
US,OK,73628,CHEYENNE,9
US,OK,73018,CHICKASHA,9.5
US,OK,73023,CHICKASHA,9.5
US,OK,73067,CHICKASHA,9.5
US,OK,74738,CHOCTAW,6.5
US,OK,74755,CHOCTAW,6.5
US,OK,74760,CHOCTAW,6.5
US,OK,74761,CHOCTAW,6.5
US,OK,74337,CHOUTEAU,10.375
US,OK,73937,CIMARRON,6.5
US,OK,73946,CIMARRON,6.5
US,OK,74018,CLAREMORE,9
US,OK,74036,CLAREMORE,9
US,OK,74536,CLAYTON,10.5
US,OK,74880,CLEARVIEW,10.5
US,OK,73729,CLEO SPRINGS,11.25
US,OK,73139,CLEVELAND,8.75
US,OK,73144,CLEVELAND,8.75
US,OK,73149,CLEVELAND,8.75
US,OK,73159,CLEVELAND,8.75
US,OK,73160,CLEVELAND,8.75
US,OK,73169,CLEVELAND,8.75
US,OK,73170,CLEVELAND,8.75
US,OK,73189,CLEVELAND,8.75
US,OK,74020,CLEVELAND,9.6
US,OK,73601,CLINTON,11
US,OK,74535,COAL,6.5
US,OK,74538,COALGATE,9.5
US,OK,74733,COLBERT,9
US,OK,74021,COLLINSVILLE,10.8
US,OK,73021,COLONY,8.5
US,OK,73529,COMANCHE,9.2
US,OK,73558,COMANCHE,4.875
US,OK,74339,COMMERCE,10.85
US,OK,74354,COMMERCE,10.85
US,OK,74022,COPAN,8.5
US,OK,73632,CORDELL,10.5
US,OK,73024,CORN,8.5
US,OK,74428,COUNCIL HILL,7.15
US,OK,73730,COVINGTON,8.85
US,OK,74014,COWETA,9.8
US,OK,74429,COWETA,9.8
US,OK,74046,CREEK,5.667
US,OK,73028,CRESCENT,8.25
US,OK,74837,CROMWELL,8.75
US,OK,74430,CROWDER,10
